iteration	commit	metric	delta	status	guard	description
0	-	0.014140083003393518	0.0	baseline	skip	initial measurement
1	a2ff672	0.008912696258113516	0.00522738674528	keep	skip	use tapering architecture 120,100,80,60,40,20 for better capacity
2	9785f8c	0.012597438563142592	-0.00368474230503	discard	skip	increase bc_weight to 30.0 for better boundary alignment
3	cfa2dde	0.013070954640210868	-0.0041582583821	discard	skip	use activation initialization 1.2
4	9c9c76f	0.010538483539220374	-0.00162578728111	discard	skip	increase lbfgs_iter to 2000 for better refinement
5	384ac74	0.017498580765463154	-0.00858588450735	discard	skip	use deeper 8-layer architecture 100x8
6	e0e375e	0.009536335904294887	-0.00062363964618	discard	skip	set alpha_dynamic to 0.5 for faster weight adaptation
7	2dc8e6f	0.01097885391090389	-0.00206615765279	discard	skip	increase initial capacity to 150 in tapering architecture
8	408d669	0.008912696258113516	0.0	discard	skip	use Halton points for collocation
9	bd8222c	0.009392556128718322	-0.0004798598706	discard	skip	change LR strategy to step_decay
10	1e96448	0.009455324189237753	-0.00054262793112	discard	skip	increase num_b_side to 200
11	b54de74	0.008596816775308306	0.0003158794828	keep	skip	change bc_weight to 25.0
12	731c3b2	0.008877881973703126	-0.00028106519839	discard	skip	increase lbfgs history_size to 300
13	481c592	0.0071875419223738505	0.00140927485293	keep	skip	add an extra wide layer to the tapering architecture
14	3d705dd	0.008626881560576883	-0.0014393396382	discard	skip	add another wide layer 120x3
15	d93ddc0	0.011188692239527476	-0.00400115031715	discard	skip	increase width of the first layer to 140
16	34d01f3	0.009690941595375946	-0.002503399673	discard	skip	increase collocation points to 42x42
17	2c9c81a	0.007152006945353199	3.553497702e-05	keep	skip	increase Adam epochs to 2500
18	b2658c0	0.013177316348251299	-0.0060253094029	discard	skip	add another layer of 100 to mid-architecture
19	3fa9f95	0.007904839036598008	-0.00075283209124	discard	skip	change adaptive activation initialization to 1.05
20	1068ca0	0.0073171492546385865	-0.00016514230928	discard	skip	change bc_weight to 22.0 with 2500 epochs
21	6f2645d	0.009180752267095124	-0.00202874532174	discard	skip	increase Adam learning rate to 2e-3
22	36c6b2f	0.007866082536237884	-0.00071407559088	discard	skip	change adaptive activation initialization to 1.15
23	06c404c	0.007253155643481059	-0.00010114869812	discard	skip	use shared adaptive scale 'a' for all layers
24	83dc0c7	0.006802919629385864	0.000349087315967	keep	skip	increase lbfgs_iter to 1500
25	ccbe31c	0.015643863335390997	-0.008840943706	discard	skip	increase architecture depth with another 100 layer
26	20e9e1f	0.009651823431501649	-0.00284890380212	discard	skip	change adaptive activation initialization to 1.08
27	12b0199	-	0.0	crash	skip	increase Adam epochs to 3000 (timeout)
28	b7f0ff7	0.017812466165115705	-0.0110095465357	discard	skip	increase bc_weight to 26.0
